Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
AEN,35.17,-79.12,-86.06,-86.06,,,,,3.16,0,0.3,,,0,-1.361,-8.14901,-1.35001,,2.19,2.8,1.9503,31.29,-0.23,,,,61.03
AENS,,,,,,,,,,,,,,0,,,,,0.86,0.04,0.0193,40.5,,,,,0.78
AENYQ,,,,,,,,,,,,,,0,,,,,0.89,0.33,0.0035,89.86,,,,,0.31
AEO,3.18,8.85,12.09,12.09,10.2,1.13,19.35,0.17,3159.82,0,7.31,0.05,4.34409,0.43999,312.35501,151.69999,380.16,-16.1,1.06,17.66,16.45,194.54,0.85,56,4,40,3200.18
AEP,0.63,2.94,5.07,10.55,5.46,2.79,11.95,2.56,15116,15083,30.37,0.13,3.84019,1.85,3296,1946,5092,1.16,0.48,41.65,37.27,483.89,3.12,58.82,0,41.18,18034.77
AEPI,2.21,0.84,1.22,6.74,7.05,,60.6,3.97,974.79,233.85,9.2,0.01,,0,26.895,12.38,56.45999,-33.59,1.29,35.85,34.54,5.51,0.57,,,,190.35
AER,1.46,3.19,3.49,13.26,2.24,1.64,5.11,9.53,1093.92,6111.16015,16.33,0.16,,0,661.11901,172.75,907.38,-3.73,1.74,14.74,10.57,139.9,2.07,11.11,0,88.89,1478.73
AERG,3.81,-63.58,-73.44,-73.44,,,,-5.33,5.07,0,0.07,-1.25,,0,-6.03001,-6.36001,-6.02581,,1.87,0.68,0.07,91.67,-0.07,,,,6.42
AERL,3.35,26.1,38.55,58.66,2.89,,3.1,,250.57,60,4.09,0.31,,0.1,81.11299,77.25,33.79999,,0.28,10.28,6.04,38.8,1.95,0,0,100,234.38
AERN,,,,,,,,,,,,,,0,,,,,1.27,0.2,0.0033,0.25,,,,,0
AERO,0.77,-99.58,-517.96,,,,,-20.98,11.31,4.07,-0.23,,,0,-5.132,-7.92001,-0.93001,,0.7,0.06,0.0155,19.74,-0.31,,,,0.31
