Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
BOTJ,0.92,0.14,1.37,2.23,5.34,,30,,23.2,17,8.23,0.03,,0,3.33999,0.6,4.80999,,0.02,6.5,5.4,3.34,0.18,,,,18.05
BOTX,,,,,,,,,,,,,,0,,,,,0.83,0.1,0.045,1.57,,,,,0.07
BOVA,,-2.27,-18.07,-30.41,,,,,8.75,10,,-0.51,,0,-8.431,-4.45201,-7.99,,1.22,2.21,1,11.33,-0.39,,,,11.33
BOWFF,0.4,25.19,29.87,54.06,2.19,,,6.23,421.3,1741.59997,51.8,2.94,1.47609,1.79999,1231.58605,1239.78002,121.98,,0.93,57.55,56.4283,47.8,,,,,2697.05
BOX,0.38,3.14,3.97,21.3,3.58,,7.55,,169.48,1039.27001,10.87,0.23,,0.92,92.52799,39.43,141.77,,0.23,17.99,16.45,20.29,2.18,40,0,60,333.74
BOXC,0.18,2.07,2.23,3.72,,,6.66,,445.64,1769.17004,,0.81,,0.26646,101.67299,359.66,454.77999,,0.02,26.5,25.1,26.11,3.77,50,0,50,655.41
BP,1.16,7.46,15.19,19.95,3.84,1.53,6.06,3.52,386463,35169,35.58,0.07,-11.554,1.67999,34593,25700,49969,4.27,1.18,47.96,42.05,3162.65,6.94,21.43,0,78.57,132989.42
BPAC,,,,,,,,,,,,,,0,,,,,0.37,0.03,0.003,42.16,,,,,0.13
BPAX,8.04,-87.3,-106.59,-172.84,,,,-39.33,0.44,17.32999,0.34,-118.62,,0,-51.46901,-51.6,-50.78,,1.19,3.81,0.5846,120.83,-0.54,100,0,0,70.64
BPFH,1.03,0.58,2.77,7.24,14.29,1.59,22.93,-9.03,354.7,703.88,6.51,0.11,-39.542,0.03999,51.318,39.13,95.19999,,1.37,10.5,9.4,78.14,0.41,55.56,0,44.44,734.52
BPHX,0.71,-2.3,-3.85,-3.87,3.25,,,-14.12,39.53,0.25999,5.91,-0.75,,0,2.802,-29.56,-17.29001,-64.65,2.2,7.56,1.47,7.3,-0.27,,,,10.73
BPI,1.59,30.09,54.43,54.43,5.78,0.63,7.09,,933.35,0,6.89,0.19,,0,189.47399,172.75999,293.22,,0.94,30.5,21.33,52.08,3.01,42.86,0,57.14,1110.89
BPIGF,,,,,,,,,,,,,,0,,,,,4.4,0.02,0.0015,73.62,,,,,0.11
BPL,1.13,4.42,5.15,10.1,8.96,4.58,21.62,63.96,4759.61,2393.57006,27.04,0.02,5.61429,4.025,559.591,108.5,515.75,0.57,0.23,67.99,58.37,90.28,2.7,33.33,11.11,55.56,5269.58
BPMI,,,,,,,,,,,,,,0,,,,,2.98,0.01,0.0051,2.06,,,,,0.01
BPMUF,,,,,,,,,233.8,,,,,0,,103.41699,,,1.04,83.68,39.5,9.59,,100,0,0,378.61
BPO,0.7,7.25,8.76,16.22,5.15,,5.91,-10.44,1787,10085,21.03,1.06,0,0.69999,1651,1896,2711,83.06,1.83,19.96,16.9,503.67,2.86,72.73,0,27.27,8511.99
BPOP,0.83,0.32,3.14,3.18,29.92,1.38,15.5,-8.12,2497.78,0,3.77,0.06,,0,63.73099,151.32,445.32998,,1.83,3.24,1.86,1026.7,0.12,25,0,75,1909.66
BPT,8.42,19863.01,30016.87,30016.87,13.62,,13.52,-0.61,202.32,0,0.04,0.99,0.75764,9.40009,201.1,201.1,201.1,,0.61,128.36,127.95,21.4,9.46,,,,2738.13
BPTH,3.71,-69.79,-74.99,-74.99,,,,,,0,0.05,,,0,-2.363,-2.36,-2.36,,0.87,0.5,0.27,58.07,-0.04,100,0,0,15.68
BPTR,,,,,,,,,,,,,,0,,,,,1.32,0,0.0003,43.96,,,,,0.01
BPZ,1.77,-3.23,-3.58,-6.81,15.19,,,40.4,143.74,248.38,1.92,-0.24,,0,29.07999,-33.82,36.15999,,2.22,4.78,3.81,115.97,-0.14,0,0,100,441.85
BQI,2.35,-169.49,-214.01,-214.01,,,,,,0,0.34,,,0,-311.69901,-316.23002,-380.94001,,0.96,0.46,0.179,348.7,-0.78,,,,62.42
BR,2.11,9.81,16.45,24.27,11.66,1.85,16.06,-0.31,2166.9,124.3,6.32,0.08,30.988,0.6,248.1,169.6,342,-2.48,0.72,24.85,23.45,124.04,1.46,20,0,80,2908.62
BRAI,,,,,,,,,,,,,,0,,,,,-0.01,0.25,0.25,7.03,,,,,1.76
BRANF,,,,,4.86,,,,261.5,36.02,,,,0,7.32999,3.91,10.43,,0.49,5.75,4.25,8.51,,,,,36.18
BRBI,,,,,,,,,1.63,,,,-37.286,0,,-13.41,,,-0.49,1.05,0.013,3.46,,,,,0.04
BRBMF,1.45,5.54,7.21,7.71,15.17,,34.17,7.91,45.53,2,5.42,0.06,-7.489,0.81685,2.89199,2.55999,8.13,-9.8,0.61,17.67,14.35,6.06,0.42,,,,86.93
BRBW,1.25,-1.11,-4,-4,,,,,7.77,0.003,11.78,-0.19,,0,,-1.51,,,0.21,7.5,5.65,3.11,-0.52,,,,17.56
BRC,2.87,6.57,8.18,10.61,9.61,1.87,13.3,-2,1339.6,331.91,19.97,0.08,5.96,0.72,163.789,108.65,214.99,-1.7,1.38,38.49,29.8,52.48,2.24,71.43,0,28.57,1563.99
BRCD,1.68,4.61,5.72,7.75,7.22,1.35,16.13,16.75,2147.44,748.89001,4.66,0.02,,0,372.94799,50.61,396.77999,-9.69,1.45,7.11,5.485,459.27,0.34,72,8,20,2519.08
BRCM,5.23,12.56,14.96,16.98,15.12,1.34,19.97,18.37,7389,1196,12.1,0.13,,0.18,1317,927,1240,43.09,1.24,40.41,36.54,545,1.83,12.5,3.13,84.38,19914.3
BRCO,0.26,-23.46,,,,,,,0.78,2.28999,-0.22,,,0,-0.91501,-2.84,0.5,,-0.38,0.62,0.08,20.02,,,,,1.6
BRD,0.91,1.36,2.16,2.79,2.84,,24.67,21.53,71.86,53.29,0.91,0.22,,0,52.48199,15.76,32.90999,,1.31,1.96,0.74,217.58,0.03,0,0,100,161.01
BRDCY,1.66,4.82,8.38,10.84,10.14,,11.15,,38375.74,4830.97998,37.27,0.03,,0,1864.19104,1338.67004,3642.18994,,0.47,50.49,46.5,406.55,4.17,,,,18904.62
BRE,0.15,1.9,1.95,4.14,22.28,2.13,22.77,1.13,371.38,1662.67004,21.39,0.21,-10.61801,1.5,164.725,77.87999,232.52,-6.97,1.31,54.25,48.73,77.16,2.14,53.85,7.69,38.46,3760.15
BRER,,,,,,,,,,,,,,0,,,,,0.12,1.25,0.7,5.48,,,,,3.83
BRFS,1.39,4.51,6.89,9.28,11.75,0.38,,38.95,6858.64,2763.85009,9.75,0.12,,0,1401.56494,820,1446.43994,42.85,1.36,21.46,18.95,869.33,-0.16,40,0,60,16473.86
BRGO,,,,,,,,,1.45,0.18999,,,,0,-0.53,-0.839,-0.44,,-0.64,0.11,0.0095,25.26,-0.11,,,,0.24
BRID,2.8,-3.27,-6.27,-6.27,66.08,,,-1.85,118.26,0,2.66,0,,0,1.35699,-0.44,0.68999,41.32,1.09,12.15,9.74,9.19,-0.2,,,,89.51
BRK.A,0.63,3.07,7.1,7.1,13.12,,16.62,7.95,110735,0,102338.58,0.09,,0,14937,10254,22661,1.72,0.48,124805,118725,1.65,7145.1,25,0,75,196014.98
BRK.B,0.63,3.07,7.1,7.1,13.1,,14.3,8.37,110735,0,68.24,0.09,,0,14937,10254,22661,4.67,0.5,83.3,79.05,2476.34,5.53,0,0,100,195754.84
BRKL,1.22,0.89,2.96,5.58,11.7,2.15,18.69,-1.61,145.6,498.57,8.56,0.19,0,0.34,45.4,27.6,75.76999,15.24,0.49,10.4,8.97,70.21,0.48,75,0,25,629.82
BRKR,1.58,8.22,19.47,22.66,12.56,0.98,17.6,26.76,1651.7,219.39999,3.77,0.06,,0,190.5,92.3,199,29.02,1.44,21.39,14.43,165.87,0.82,12.5,12.5,75,2393.53
BRKS,3.75,10.79,13.27,13.27,6.95,,11.59,-2.65,688.1,0,7.77,0.19,,0.07999,112.274,128.35,147.16,7.42,1.65,12.93,11.82,66.25,1.02,60,0,40,783.1
BRLI,2.48,12.56,18.15,19.19,13.66,0.93,18.62,22.74,558.64,10.97,6.95,0.07,,0,47.62699,36.34999,81.58,24.77,0.85,25.24,23.27,27.78,1.25,50,0,50,646.42
BRLS,,,,,,,,,,,,,,0,,,,,1.62,0.01,0.004,8.79,,,,,0.04
BRMSY,0.89,2.19,2.96,4.13,31.26,,34.58,41.84,517.49,1694.65002,19.36,0.55,,0,191.44999,282.86999,789.65002,,0.07,26.9,26.63,226.46,0.77,,,,6030.52
BRN,1.21,-1.61,-2.84,-3.68,2.47,,,-8.47,38.46,11.39999,4.75,0,,0,10.35099,-0.10001,13.23999,-29.78,1.65,7.12,3.09,8.28,-0.17,,,,25.58
BRO,1.38,6.47,8.89,10.28,14.71,1.45,20.63,1.24,1013.54,250.02999,11.47,0.16,6.03149,0.32499,231.13499,163.99,351.79,-3.87,0.75,26.39,23.72,143.35,1.15,50,7.14,42.86,3400.31
BRP,3.4,0.28,0.52,0.75,99.49,,151.86,-4.09,1008.09,825.67999,9.95,0,,0,10.828,4.82999,170.77,,2.1,14.32,10.63,101.34,0.07,,,,1077.28
BRRAY,,,,,,1.86,,,5461.42,,,,-42.758,0.12245,,-0.936,,,1.91,13.21,12.08,230.93,,0,0,100,2789.68
BRS,4.17,3.99,4.75,7.08,7.74,,15.67,7.31,1232.81,698.47998,42.13,,,0.6,215.335,132.30999,280.61999,0.48,1.33,52.32,45.91,35.68,2.93,66.67,0,33.33,1638.02
BRSI,,,,,,,,,,,,,,0,,,,,1.37,0.33,0.18,11.33,,,,,2.04
BRT,3.42,4.41,5.63,6.25,14.18,,12.29,-25.99,17.88,14.40999,9.97,0.36,,0,7.196,6.36999,3.59999,,1.38,7.25,7.25,14.08,0.59,100,0,0,102.06
BRTHY,,,,,,,,,,,,,,0,,,,,0,134.25,132.38,27.75,,,,,3674.07
BRY,0.73,4.93,6.4,14.38,6.33,0.18,16.3,6.67,921.34,1380.18994,15.67,-0.25,0.99485,0.31,373.16,-228.06,-73.43001,-8.33,2.17,60.36,44.01,53.95,2.7,0,0,100,2374.29
BRZZQ,,,,,,,,,,,,,,0,,,,,0.36,0,0.003,5.99,,,,,0.02
BSBR,1.25,1.93,6.42,10.16,3.26,1.49,1.44,,35206.47,29733.90039,22.23,0.13,,0.25011,5532.41894,4658.93994,9434.74023,,0.86,12.05,8.55,,5.93,66.67,16.67,16.67,18028.88
BSCA,1.12,0.18,0.64,1.86,,,46.75,,9.48,35.75,9.32,0.04,,0,,0.381,,,-0.06,9,7.48,2.22,0.16,,,,16.61
BSDM,37,-26.94,-27.92,-27.92,,,,-12.07,3.04,0,0.66,-1.74,,0,-5.146,-5.28001,-5.14,,0.82,4.39,1.93,29.66,-0.22,,,,57.25
BSET,2.71,1.44,2.03,2.08,8.13,,31.97,-5.25,253.21,3.66,13.33,0.22,-35.531,0.09499,13.489,55.34,66.16999,,2,9.59,9.59,11.27,0.3,,,,108.04
BSFT,3.53,11.28,16.08,25.07,32.39,1.84,39.29,,138.06,82.19,4.93,0.23,,0,32.137,32.29,32.63999,,0.23,46.84,38.5,27.46,0.98,12.5,0,87.5,1057.25
BSI,0.87,0.76,1.37,4.36,2.74,,12.85,14.35,3266.84,888.07,6.16,0.01,-1.95581,0.2363,89.833,24.52,108.34999,-23.72,1.05,10.5,3.7278,65.95,0.29,,,,245.86
BSMLQ,,,,,,,,,,,,,,0,,,,,6.38,0.02,0.0007,14.4,,,,,0.01
BSPA,,,,,8.78,,,,20.39,50.65,,,3.59459,1.24,2.72,2.33999,5.65999,,0.42,50,31,0.74,,,,,23.03
BSPM,5.28,17.7,20.03,20.03,1.13,,1.22,,91.97,0,8,0.13,,0,18.002,12.17399,24.06999,,1.19,5.88,1.792,9.4,1.47,,,,16.84
BSQR,2.17,0.87,1.4,1.4,8.72,,106.67,14.96,96.84,0,2.52,0,,0,3.933,-0.46001,0.81,-1.93,1.55,7.22,3.2,10.89,0.03,0,0,100,34.84
BSRC,8,-364.41,-379.34,-379.34,,,,,,0,0.05,,,0,-1.1319,-1.14,-1.1312,,0.2,4.25,1.17,5.44,-0.42,,,,6.37
BSRR,0.73,0.58,3.67,4.69,8.28,1.38,17.14,-6.77,73.26,45.91999,11.95,0.11,-24.748,0.23999,16.34,7.78,18.25,-29.49,1.26,11.68,9.6,14.1,0.56,66.67,33.33,0,135.38
BSTC,11.78,19.82,23.56,23.56,29.99,,34.56,16.99,11.4,0,2.34,0.58,,0,3.15199,6.59999,5.30999,,0.46,25.04,14.86,6.34,0.43,0,0,100,94.15
BSTK,,,,,,,,,,,,,,0,,,,,1.41,0.13,0.025,0.02,,,,,0
BSX,1.72,3.33,4.55,6.28,3.9,2.84,11.96,-1.66,7622,4257,7.66,0.06,,0,2180,441,2358,-1.2,1.07,7.79,5.74,1450.7,0.48,65.22,4.35,30.43,8327.03
BSYBY,1.19,14.04,23.21,74.56,10.6,0.84,15.22,2.84,10764.79,3699.07006,3.98,0.12,4.38619,1.2925,1711.24304,1288.70996,2141.47998,,0.73,56.3,41.39,438.22,2.72,33.33,66.67,0,18137.93
BT,0.73,7.2,16.64,123.11,3.72,1.86,9.47,-6.65,32909.58,15002.96972,0.65,,-25.66,1.1674,7439.708,2407.8999,7518.27978,-6.31,1.28,36.89,33.92,777.44,3.58,40,0,60,26370.76
BTE,0.82,10.89,14.72,22.6,10.92,,20.34,20.41,1319.32,617,10.39,0.17,4.1553,2.46149,516.98699,220.03999,560.08001,4.55,1.53,61.62,48.01,118.75,2.36,12.5,0,87.5,5701.43
BTFG,0.75,0.08,0.68,1.39,2.38,,,-3.28,100.94,92.8,6.75,0.02,,0,12.41499,1.66199,16.64999,-59.85,0.22,2.66,1.6699,17.95,-0.08,,,,29.98
BTH,3.05,5.75,8.22,13.17,18.46,,20.83,-6.84,888.32,99.19999,18.73,0.02,-48.514,0.2,32.27,16.21999,45.99,-13.75,1.51,79.81,72.49,8.57,3.48,,,,621.09
BTM,1.48,0.58,0.96,1.78,1.66,,24.5,10.89,15324.01,1895.54003,116.65,0.04,26.62199,0.53241,1179.65502,604.23999,1961.27001,,1.14,31.24,14.7,133.2,0.6,0,100,0,1958.03
BTM.C,1.48,1.28,2.1,3.9,0.98,,,,5553.65,1895.54003,76.38,0.11,,0.16414,1231.48999,604.23999,1961.27001,,0.23,11.65,5.92,203.42,,,,,1204.26
BTN,2.1,10.92,18.54,18.54,6.52,,7.49,34.58,184.43,0,4.36,0.06,,0,12.67399,10.34,16.80999,59.65,1.33,6.85,5.69,14.27,0.76,0,0,100,81.17
BTSR,,,,,,,,,,,,,,0,,,,,4.05,0,0.0006,209.71,,,,,0.13
BTU,1.65,8.39,12.41,20.67,4.58,1,6.84,8.17,7974.4,6556.3999,20.36,0.12,10.01099,0.34,1615.65002,957.70001,2094.5,14.66,1.48,66.82,27.3,272.26,3.99,5.26,5.26,89.47,7432.56
BTUI,5.47,-3.22,-4.19,-5.01,,,,4.27,76.13,7.94999,4.16,-0.04,,0,-0.52101,-2.72001,0.50999,1.35,1.68,12.44,2.88,9.5,-0.22,100,0,0,27.37
BTX,7.95,-31.91,-34.77,-34.77,,,,37.68,4.35,0,0.82,-3.8,,0,-15.53,-16.51001,-15.55001,,1.02,7.63,4.19,50.32,-0.34,,,,210.85
BUD,,5.51,7.82,15.86,14.58,1.84,17.55,21.03,39046,41961,,0.15,,0.97036,7828,5855,10470,6.87,0.17,73.52,71.09,1606.07,4.05,11.11,0,88.89,114175.66
BUKS,2.42,3.38,4.44,5.89,7.12,,,35.34,46.33,4.94,0.37,0.03,,0,2.83999,1.25,4.36999,,0.92,0.76,0.36,57.19,,,,,20.59
BUR,10.27,,,,,,,,,,0.34,,,0,,,,,0.08,8.44,6.73,29.99,,,,,201.84
BURCA,2.58,3.36,5.24,7.31,,,13.67,,198.84,16.2,22.61,0.03,0.32717,0.68,,5.07999,,,0.05,15.99,15.45,2.82,1.13,,,,43.63
BUSE,0.8,0.87,6.02,9.01,8.8,,15.97,-2.17,191.83,74.41,3.89,0.16,-36.67301,0.15999,45.553,29.87,64.27999,-31.58,0.7,5.41,4.63,86.62,0.29,60,40,0,401.05
BUTLQ,,,,,,,,,,,,,,0,,,,,-0.77,0.01,0.0027,12.83,,,,,0.03
BVBC,1.08,-0.47,-2.14,-6.35,,,,,33.17,100.43,14.04,-0.48,,0,-1.563,-15.82,-0.80001,,-0.53,8,3.85,2.88,-1.54,,,,11.08
BVII,3.67,-21.96,-26.94,-26.96,7.26,,,21.2,20.46,0,0.76,,,0,0.34099,-0.12,0.28,,0.33,1.48,0.3,8.36,-0.19,,,,2.51
BVN,3.02,23.31,26.41,26.9,10.96,,12.15,16.63,1556.62,0,13.45,0.62,21.60499,0.53697,955.92199,963.67999,1282.82995,18.07,0.64,48,41.19,254.44,3.39,50,0,50,10480.47
BVRDF,,,,,,,,,,,,,,0,,,,,-0.02,85.65,77.38,110.53,,,,,8552.5
BVSN,5.9,-7.18,-8.78,,,,,-21.84,17.55,0,11.02,-0.31,,0,-4.429,-5.38001,-5.11001,,1.12,50.73,26.45,4.6,-1.02,,,,121.62
BVTI,,,,,,,,,,,,,,0,,,,,0.16,0.76,0.5,144.69,,0,0,100,72.35
BVX,6.92,3.56,3.89,4.52,18.3,,54,-3.38,25.41,3.42,1.25,0,,0,2.61999,0.1,1.17999,-34.46,0.47,3.44,2.7,17.76,0.05,,,,47.94
BWA,1.12,9.15,16.37,22.74,10.47,0.61,18.26,4.92,7114.7,751.29998,22.36,0.08,,0,853.40002,550.09997,1143.80004,10.07,1.64,87.05,81.42,109.43,4.46,43.75,0,56.25,8910.12
BWAV,,,,,,,,,7.68,0,,,,0,-15.29,-15.53,-15.19,,-0.21,0.01,0.003,5.85,,,,,0.02
BWC,1.29,7.18,22.57,22.59,8.26,0.98,15.02,,2952.04,0.62999,7.08,0.06,,0,339.15399,169.64999,391.54,,0.24,31.92,23.74,118.15,1.58,45.45,0,54.55,2804.81
BWEBF,,,,,,,,,12.98,,,,,0,,7.74499,,,1.86,0.15,0.133,41.33,,,,,5.5
BWEN,1.55,-11.28,-15.78,-16.82,,,,77.83,185.85,5.76,0.84,-0.12,,0,-5.647,-21.94001,-5.03001,,1.66,1.81,0.3905,139.85,-0.18,75,25,0,54.61
BWINA,0.53,-1.9,-5,-5,15.27,,,4.17,243.59,0,21.5,-0.12,0,1,22.547,-28.17001,-6.13001,-29.5,0.62,26.5,23.2,14.85,-1.12,,,,344.47
BWINB,0.53,-1.9,-5,-5,13.77,,,4.96,243.59,0,21.47,-0.12,0,1,22.547,-28.17001,-6.13001,-30.2,0.71,25.05,20.94,14.86,-1.12,100,0,0,311.15
BWL.A,2.24,3.87,4.56,4.56,22.22,,44.57,-4.59,26.52,0,6.53,0.06,1.4141,0.47499,3.09699,1.54999,3.91,-22.68,0.36,13.77,13.37,5.15,0.3,,,,68.87
BWLD,1.22,11.11,17.05,17.05,15.78,1.28,31.61,22.86,784.48,0,17.32,0.06,,0,100.33599,50.41999,122.80999,22.41,0.9,94.42,86.29,18.39,2.73,56.25,12.5,31.25,1586.79
BWOW,1.31,6.19,12.68,13.36,,,1.87,,24.06,,2.71,,,0,,0.41999,,,-0.37,3.31,0.653,8.41,0.35,,,,5.49
BWP,0.85,3.81,4.02,7.98,10.59,3.85,19.9,16.54,1138.8,3198.69995,16.14,0.19,4.2785,2.095,492.626,220,614.20001,-7.92,0.18,33.47,26.27,207.79,1.32,58.33,25,16.67,5458.62
BWS,1.55,2.34,4.95,7.2,3.99,,12.44,1.48,2582.82,198.63,9.85,0.01,0,0.28,91.734,24.57999,96.62999,-12.74,2.07,12.97,8.71,41.99,0.7,60,0,40,365.73
BX,0.78,4.57,5.52,11.93,4.57,0.59,11.89,,3252.58,8969.41015,23.39,-0.05,-22.86301,0.62,1185.41894,-168.30001,342.66,,2.26,19.49,14.63,397.88,1.23,33.33,0,66.67,5821.04
BXC,2.9,-5.75,-9.37,-1130.83,,,,-20.51,1755.43,328.69,0.14,-0.02,,0,-19.335,-38.56001,6.40999,,2.34,4.18,2.41,63.73,-0.87,,,,153.58
BXG,1.01,2.35,6.44,8.76,3.74,,5.67,-13.81,403.45,110.81999,9.47,-0.04,,0,41.472,-17.25,123.70999,-4.32,2.39,4.76,4.76,32.57,0.84,,,,155.04
BXP,0.85,1.93,2.63,5.1,20.86,3.75,20.75,2.71,1759.53,5580.87011,36.62,0.15,-7.5459,2.04999,711.859,272.67001,753,-0.36,1.37,112.36,100.45,148.28,4.84,50,5.56,44.44,14894.73
BXS,0.82,0.28,2.57,3.01,12.04,3.05,29.16,-4.66,808.7,193.80999,15.13,0.05,-45.60801,0.14,88.95899,37.56,108.8,-34.95,0.91,15.67,12.83,94.44,0.44,66.67,11.11,22.22,1211.61
BYD,0.73,0.02,0.03,0.09,3.19,0.49,391.5,2.08,2336.24,3540.19995,15.92,0,,0,211.72399,-3.85,455.04,-85.96,2.52,10.26,7.83,86.59,0.02,61.11,22.22,16.67,677.99
BYFC,1.27,-2.16,-7.65,-75.43,,,,8.63,25.83,94,3.1,-0.37,-19.122,0,-8.55701,-9.51001,-3.16001,-15.54,0.74,2.42,1.49,1.75,-6.1,,,,2.6
BYI,2.75,10.52,13.85,32.14,13.66,0.64,23.33,0.38,758.16,500.25,5.15,0.13,,0,179.43899,98.26,233.75,19.34,1.71,47.5,46.19,43.59,1.98,28.57,0,71.43,2013.28
BYLK,0.77,0.43,2.75,5.45,5.88,,10.89,-10.3,52.14,80.55,10.67,0.09,,0,8.206,4.46999,12.02999,-26.87,1.35,6.65,6.1,7.91,0.56,,,,48.26
BYOC,,,,,,,,,0.9,0,,,,0,-8.90601,-11.65,4.69999,,0.23,0.01,0.0002,84.13,,,,,0.02
BZ,2.15,3.58,5.15,9.79,3.39,,9.89,3.1,2404.08,790,7.47,0.03,,0,229.57499,75.20999,338.85998,140.04,3.2,9.82,7.32,100.47,0.74,25,0,75,735.45
BZC,2.68,7.05,12.37,15.98,9.77,,12.81,1.51,78.2,11.5,3.9,,,0,7.296,5.01999,11.51,-6.48,0.5,11.19,7.56,9.49,0.59,,,,71.74
BZEC,,,,,,,,,,0,,,,0,-0.92862,-0.93001,-0.33861,,-1.04,0.04,0.005,40.56,,,,,0.2
BZH,38.23,-7.44,-8.58,-61.34,,,,-33,742.41,1488.81994,2.62,-0.28,,0,-154.116,-204.85001,-186.11001,,4.4,4.72,2.87,76.39,-1.86,42.86,28.57,28.57,219.23
BZLFY,,,,,10.86,,,,8095.39,1069.05004,,0.02,0.67782,1.88269,421.43099,196.14599,466.41,,0.66,83.02,79.74,65.73,,0,100,0,5241.31
C,1.07,0.58,2.14,6.33,6.9,1,9.08,0.36,78353,323505,61.31,0.14,,0.02999,14232,11067,33370,,2.56,45.9,33.585,2930.71,3.7,23.81,9.52,66.67,98428
CA,1.09,8.82,15.03,18.44,9.9,1.16,12.66,2.8,4429,1282,11.61,,14.444,0.4,1363,827,1633,17.97,1.02,27.91,26.45,485.64,2.09,63.64,0,36.36,12845.31
CAAEF,1.94,8.79,11.84,13.16,13.34,,16.68,,114.4,19.64999,0.45,-0.09,,0,31.19499,-10.86,30.20999,,0.7,1.41,0.834,622.17,0.05,0,0,100,518.89
CAAHD,1.25,30.38,67.38,68.13,0.27,,0.38,108.69,43.14,0.23,19.9,0.25,,0,12.15999,10.82999,14.92,,0.21,7.2,3,1.09,8,,,,3.28
CAAS,1.68,5.74,11.5,12.91,5.82,0.88,9.74,33.41,347.98,24.54999,7.7,0.12,,0,29.131,40.79,69.56999,28.96,2.26,10.3,6.04,28.26,0.62,50,0,50,170.69
CAB,2.54,3.05,5.01,13.54,11.99,1.12,17.96,4.95,2811.17,2207.93994,16.98,0.05,,0,222.102,142.61999,310.22,11.43,1.23,39.56,38.26,68.88,2.13,36.36,0,63.64,2635.2
CABC,1.21,0.31,1.54,2.66,,,26.85,,11.52,29.1,12.5,0.07,,0,,0.78799,,,0.02,7.75,7.25,2.75,0.27,,,,19.94
CABK,1.01,0.36,3.31,3.4,,,32.58,,10.15,3,12.29,0.08,,0,,0.86,,,0.18,13.43,13.36,2.1,0.41,,,,28.04
CABL,,,,,0.11,,,,53.96,89.65,,,,0,25.326,-27.01001,16.17,,1.71,0.4,0.235,13.67,,,,,3.21
CABN,0.08,-619.17,-936.5,-936.5,,,,,,0,-0.01,,,0,-1.85001,-1.86001,-1.84921,,-1.23,6,1.46,9.6,-0.21,,,,14.01
CAC,0.95,1.12,3.64,12.04,8.01,,9.3,-0.31,121.43,456.23001,28.45,0.22,0.78886,1,30.457,26.17,53.79,5.09,0.88,37.25,31.71,7.67,3.41,,,,243.12
CACB,0.89,-5.47,-27.03,-44.91,,,,-18.34,78.06,60,2.81,-0.61,,0,-77.02,-47.27001,-84.75,,1.65,12.36,5.85,47.23,-0.23,0,100,0,276.31
CACC,12.1,11.94,14.77,41.51,12,,13.02,21.09,525.19,953.92999,21.04,0.36,,0,204.12399,188.03999,363.67999,38.65,0.58,106.5,95.47,25.62,7.33,0,0,100,2446.13
CACH,2.54,2.04,3.48,3.49,15.4,1.58,48.57,-7.23,223.88,0,3.95,0.01,,0,5.676,2.07999,6.8,,2.03,7.78,6.8,12.85,0.14,50,0,50,87.41
CACI,1.62,6.88,9.4,13.08,9.12,0.74,11.22,15.61,3577.78,402.42999,44.9,0.04,,0,198.093,144.21,310.23999,16.2,0.73,65.83,60.02,26.49,5.35,60,6.67,33.33,1589.87
CADC,1.78,10.95,19.36,19.36,2.04,,2.56,,137.91,0,4.89,0.12,,0,19.02799,17.05999,23.17,,0.62,3.14,2.1799,17.82,0.85,,,,38.85
CADMQ,,,,,,,,,2.24,0.02999,,,,0,-12.63001,-13.02001,-12.63001,,-1.04,0.2,0.008,14.4,,,,,0.12
CADX,8.29,-62.81,-74.46,-91.64,,,,,16.7,28.69,1.44,-5.57,,0,-82.656,-93.02,-84.95,,1.22,9.92,3.47,85.52,-1.31,40,10,50,296.74
CAE,1.28,5.92,10.6,16.58,10.72,,14.94,7.83,1675.38,436.73999,3.97,,35.91699,0.16219,247.216,167.1,328.77999,5.84,1.45,13.59,10.31,257.98,0.69,11.11,0,88.89,2659.73
CAFI,1.08,0.23,1.35,3.95,9.09,,9.2,-10.85,42.74,80.27999,6.33,0,,0,1.824,0.20999,5.25,,2.17,2.8,2.3,7.21,0.25,,,,16.57
CAG,1.76,6.32,9.52,15.18,9.38,1.9,14.83,-0.28,12303.1,2870.30004,12.42,0.07,6.3108,0.88999,1124.94494,817,1763.30004,1.2,0.67,27.18,25.8,412.58,1.74,72.73,0,27.27,10644.67
CAGC,,,,,0.93,,,,76.13,0,,,,0,16.31399,5.67999,11.8,,1.94,6.88,0.9,20.77,,,,,18.69
CAH,1.22,4.33,12.61,17.49,11.53,1.05,14.33,4.05,102644.2,2175.30004,17.16,0.01,15.50399,0.8,1254.5,959,1924.40002,-8.89,0.79,46.83,41.26,345.68,2.88,8.33,0,91.67,14262.96
CAJ,2.41,6.32,9.04,9.05,9.46,1.89,18.19,3.78,45608.11,43.16999,26.08,0.07,19.69199,1.383,6538.11376,3257.80004,8164.7998,-8,1,49.82,46.38,1201.53,2.55,0,0,100,55727.05
